Fahrten,Namen
7485,S8 (Regionalverkehr Bern-Solothurn)
839,10 (Städtische Verkehrsbetriebe Bern)
664,38 (Autobusbetrieb RBS)
387,8 (Städtische Verkehrsbetriebe Bern)
354,7 (Städtische Verkehrsbetriebe Bern)
341,12 (Städtische Verkehrsbetriebe Bern)
248,6 (Städtische Verkehrsbetriebe Bern)
239,M11 (Busbetrieb Solothurn und Umgebung)
203,S2 (BLS AG (bls))
195,IR65 (BLS AG (bls))
163,RE1 (BLS AG (bls))
160,17 (Städtische Verkehrsbetriebe Bern)
158,IC6 (Schweizerische Bundesbahnen SBB)
151,S5 (BLS AG (bls))
137,IC61 (Schweizerische Bundesbahnen SBB)
132,IR17 (BLS AG (bls))
88,EC (Schweizerische Bundesbahnen SBB)
87,9 (Städtische Verkehrsbetriebe Bern)
82,20 (Städtische Verkehrsbetriebe Bern)
79,S4 (BLS AG (bls))
